B00001,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,,,,,,,,
B00001,dimensions,,,,,,,,
B00001,values,['Total '],,,,,,,
C27005,dimensions,,Sex,Age,Health Insurance,,,,
C27005,values,['Total:'],"['Male:', 'Female:']","['', '65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['With direct-purchase health insurance', '', 'No direct-purchase health insurance']",,,,
C27006,MEDICARE COVERAGE BY SEX BY AGE,,,,,,,,
C27006,dimensions,,Sex,Age,Health Insurance,,,,
C27006,values,['Total:'],"['Male:', 'Female:']","['', '65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['', 'No Medicare coverage', 'With Medicare coverage']",,,,
C27007,MEDICAID/MEANS-TESTED PUBLIC COVERAGE BY SEX BY AGE,,,,,,,,
C27007,dimensions,,Sex,Age,Health Insurance,,,,
C27007,values,['Total:'],"['Male:', 'Female:']","['', '65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['', 'No Medicaid/means-tested public coverage', 'With Medicaid/means-tested public coverage']",,,,
C27008,TRICARE/MILITARY HEALTH COVERAGE BY SEX BY AGE,,,,,,,,
C27008,dimensions,,Sex,Age,Health Insurance,,,,
C27008,values,['Total:'],"['Male:', 'Female:']","['', '65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['', 'With TRICARE/military health coverage', 'No TRICARE/military health coverage']",,,,
C27009,VA HEALTH CARE BY SEX BY AGE,,,,,,,,
C27009,dimensions,,Sex,Age,Health Insurance,,,,
C27009,values,['Total:'],"['Male:', 'Female:']","['', '65 years and over: ', '18 to 64 years:', 'Under 18 years:']","['No VA Health Care', 'With VA Health Care', '']",,,,
B27010,TYPES OF HEALTH INSURANCE COVERAGE BY AGE,,,,,,,,
B27010,dimensions,,Age,Health Insurance,Health Insurance,,,,
B27010,values,['Total:'],"['65 years and over: ', 'Under 18 years:', '35 to 64 years:', '18 to 34 years:']","['With one type of health insurance coverage:', '', 'With two or more types of health insurance coverage:', 'No health insurance coverage', 'With two or more types of health insurance coverage']","['', 'With VA Health Care only', 'Other public only combinations', 'With Medicare coverage only', 'With Medicaid/means-tested public coverage only', 'Other coverage combinations', 'With direct-purchase and Medicare coverage', 'With employer-based health insurance only', 'With TRICARE/military health coverage only', 'With Medicare and Medicaid/means-tested public coverage', 'With employer-based and direct-purchase coverage', 'With employer-based and Medicare coverage', 'Other private only combinations', 'With direct-purchase health insurance only']",,,,
B27011,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY EMPLOYMENT STATUS BY AGE,,,,,,,,
B27011,dimensions,,Labor Force Participation,Employment Status,Age,Health Insurance,Health Insurance,,
B27011,values,['Total:'],"['Not in labor force:', 'In labor force:']","['Employed:', 'Unemployed:', '']","['', '18 to 64 years:', '65 years and over:']","['', 'No health insurance coverage', 'With health insurance coverage']","['', 'With public coverage', 'With private health insurance']",,
B27015,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS ,,,,,,,,
B27015,dimensions,,Income,Health Insurance,Health Insurance,,,,
B27015,values,['Total:'],"['$25,000 to $49,999:', '$100,000 or more:', '$75,000 to $99,999:', '$50,000 to $74,999:', 'Under $25,000:']","['', 'No health insurance coverage', 'With health insurance coverage']","['', 'With public coverage', 'With private health insurance']",,,,
C27012,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY WORK EXPERIENCE BY AGE,,,,,,,,
C27012,dimensions,,Employment Status,Age,Health Insurance,Health Insurance,,,
C27012,values,['Total:'],"['Worked full-time, year-round:', 'Worked less than full-time, year-round:', 'Did not work:']","['', '18 to 64 years:', '65 years and over:']","['', 'No health insurance coverage', 'With health insurance coverage']","['With direct-purchase health insurance', '', 'With Medicaid/means-tested public coverage', 'With Medicare coverage', 'With employer-based health insurance']",,,
C27013,PRIVATE HEALTH INSURANCE BY WORK EXPERIENCE BY AGE,,,,,,,,
C27013,dimensions,,Employment Status,Age,Health Insurance,,,,
C27013,values,['Total:'],"['Worked full-time, year-round:', 'Worked less than full-time, year-round:', 'Did not work:']","['', '18 to 64 years:', '65 years and over:']","['', 'With private health insurance', 'No private health insurance']",,,,
C27014,PUBLIC HEALTH INSURANCE BY WORK EXPERIENCE BY AGE,,,,,,,,
C27014,dimensions,,Employment Status,Age,Health Insurance,,,,
C27014,values,['Total:'],"['Worked full-time, year-round:', 'Worked less than full-time, year-round:', 'Did not work:']","['', '18 to 64 years:', '65 years and over:']","['', 'With public coverage', 'No public coverage']",,,,
B27019,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY AGE BY EDUCATIONAL ATTAINMENT,,,,,,,,
B27019,dimensions,,Age,Educational Attainment,Health Insurance,Health Insurance,,,
B27019,values,['Total:'],"['25 to 64 years:', '65 years and over:']","['', ""Some college or associate's degree:"", 'Less than high school graduate:', 'High school graduate (includes equivalency):', ""Bachelor's degree or higher:""]","['', 'No health insurance coverage', 'With health insurance coverage']","['', 'With public coverage', 'With private health insurance']",,,
B27020,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY CITIZENSHIP STATUS,,,,,,,,
B27020,dimensions,,Nativity,US Citizenship,Health Insurance,Health Insurance,,,
B27020,values,['Total:'],"['Foreign Born:', 'Native Born:']","['', 'Naturalized:', 'Noncitizen:']","['', 'No health insurance coverage', 'With health insurance coverage']","['', 'With public coverage', 'With private health insurance']",,,
B27022,HEALTH INSURANCE COVERAGE STATUS BY SEX BY ENROLLMENT STATUS FOR YOUNG ADULTS AGED 19 TO 25,,,,,,,,
B27022,dimensions,,Sex,School Enrollment,Health Insurance,,,,
B27022,values,['Total:'],"['Male:', 'Female:']","['', 'Enrolled in school:', 'Not enrolled in school:']","['', 'No health insurance coverage', 'With health insurance coverage']",,,,
B27023,PRIVATE HEALTH INSURANCE BY SEX BY ENROLLMENT STATUS FOR YOUNG ADULTS AGED 19 TO 25,,,,,,,,
B27023,dimensions,,Sex,School Enrollment,Health Insurance,,,,
B27023,values,['Total:'],"['Male:', 'Female:']","['', 'Enrolled in school:', 'Not enrolled in school:']","['No private health insurance coverage', '', 'With private health insurance coverage']",,,,
C27016,HEALTH INSURANCE COVERAGE STATUS BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE,,,,,,,,
C27016,dimensions,,Income:Poverty,Age,Health Insurance,,,,
C27016,values,['Total:'],"['Under 1.38 of poverty threshold:', '1.38 to 1.99 of poverty threshold:', '4.00 of poverty threshold and over:', '2.00 to 3.99 of poverty threshold:']","['', '65 years and over:', '18 to 64 years:', 'Under 18 years:']","['', 'No health insurance coverage', 'With health insurance coverage']",,,,
C27017,PRIVATE HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE,,,,,,,,
C27017,dimensions,,Income:Poverty,Age,Health Insurance,,,,
C27017,values,['Total:'],"['Under 1.38 of poverty threshold:', '1.38 to 1.99 of poverty threshold:', '4.00 of poverty threshold and over:', '2.00 to 3.99 of poverty threshold:']","['', '65 years and over:', '18 to 64 years:', 'Under 18 years:']","['', 'With private health insurance', 'No private health insurance']",,,,
C27018,PUBLIC HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE,,,,,,,,
C27018,dimensions,,Income:Poverty,Age,Health Insurance,,,,
C27018,values,['Total:'],"['Under 1.38 of poverty threshold:', '1.38 to 1.99 of poverty threshold:', '4.00 of poverty threshold and over:', '2.00 to 3.99 of poverty threshold:']","['', '65 years and over:', '18 to 64 years:', 'Under 18 years:']","['', 'With public coverage', 'No public coverage']",,,,
B98001,UNWEIGHTED HOUSING UNIT SAMPLE,,,,,,,,
B98001,dimensions,,,,,,,,
B98001,values,"['Initial addresses selected', 'Final number of housing unit interviews']",,,,,,,
B98002,UNWEIGHTED GROUP QUARTERS POPULATION SAMPLE,,,,,,,,
B98002,dimensions,,,,,,,,
B98002,values,"['Final synthetic interviews', 'Initial sample selected']","['', 'Final actual interviews']",,,,,,
B98011,HOUSING UNIT COVERAGE RATE,,,,,,,,
B98011,dimensions,,,,,,,,
B98011,values,['Total'],,,,,,,
B98012,TOTAL POPULATION COVERAGE RATE BY SEX,,,,,,,,
B98012,dimensions,,,,,,,,
B98012,values,['Total:'],"['    Female', '    Male']",,,,,,
B98013,TOTAL POPULATION COVERAGE RATE BY WEIGHTING RACE AND HISPANIC OR LATINO GROUPS,,,,,,,,
B98013,dimensions,,,,,,,,
B98013,values,['Total:'],"['  Hispanic or Latino', '  Not Hispanic or Latino:']","['', '    Native Hawaiian and Other Pacific Islander', '    Black or African American', '    White', '    Asian', '    American Indian and Alaska Native']",,,,,
B98014,GROUP QUARTERS POPULATION COVERAGE RATE,,,,,,,,
B98014,dimensions,,,,,,,,
B98014,values,['Total'],,,,,,,
B98021,HOUSING UNIT RESPONSE AND NONRESPONSE RATES WITH REASONS FOR NONINTERVIEWS,,,,,,,,
B98021,dimensions,,,,,,,,
B98021,values,,"['Response Rate', 'Nonresponse Rate:']","['  Unable To Locate', '  Refusal', '  Insufficient Data', '  No One Home', '  Other Reason', '  Temporarily Absent', '  Language Problem']",,,,,
B98022,GROUP QUARTERS POPULATION RESPONSE AND NONRESPONSE RATES WITH REASONS FOR NONINTERVIEWS,,,,,,,,
B98022,dimensions,,,,,,,,
B98022,values,,"['Response Rate', 'Nonresponse Rate:']","['  Group Quarters Person Refusal', '  Language Problem', '  Insufficient Data', '  Unable To Locate Group Quarters Person', '  Resident Temporarily Absent', '  Group Quarters Person Other Reason', '  Whole Group Quarters Other Reason', '  Whole Group Quarters Refusal']",,,,,
B98031,OVERALL PERSON CHARACTERISTIC IMPUTATION RATE,,,,,,,,
B98031,dimensions,,,,,,,,
B98031,values,['Total'],,,,,,,
B98032,OVERALL HOUSING UNIT CHARACTERISTIC IMPUTATION RATE,,,,,,,,
B98032,dimensions,,,,,,,,
B98032,values,['Total'],,,,,,,
B99011,IMPUTATION OF SEX,,,,,,,,
B99011,dimensions,,,,,,,,
B99011,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99012,IMPUTATION OF AGE,,,,,,,,
B99012,dimensions,,,,,,,,
B99012,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99021,IMPUTATION OF RACE,,,,,,,,
B99021,dimensions,,,,,,,,
B99021,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99031,IMPUTATION OF HISPANIC OR LATINO ORIGIN,,,,,,,,
B99031,dimensions,,,,,,,,
B99031,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99051,IMPUTATION OF CITIZENSHIP STATUS,,,,,,,,
B99051,dimensions,,,,,,,,
B99051,values,['Total:'],"['Foreign born:', 'Native:']","['', 'Not imputed', 'Imputed']",,,,,
B99052,IMPUTATION OF YEAR OF ENTRY,,,,,,,,
B99052,dimensions,,,,,,,,
B99052,values,['Total:'],"['Foreign born:', 'Native:']","['', 'Not imputed', 'Imputed']",,,,,
B99052PR,IMPUTATION OF YEAR OF ENTRY FOR POPULATION BORN OUTSIDE PUERTO RICO,,,,,,,,
B99052PR,dimensions,,,,,,,,
B99052PR,values,['Total:'],"['Foreign born:', 'Native:']","['', 'Not imputed', 'Imputed']",,,,,
B99053,IMPUTATION OF YEAR OF NATURALIZATION,,,,,,,,
B99053,dimensions,,,,,,,,
B99053,values,['Total:'],"['Imputed', 'Not imputed ']",,,,,,
B99061,IMPUTATION OF PLACE OF BIRTH,,,,,,,,
B99061,dimensions,,,,,,,,
B99061,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99071,IMPUTATION OF MOBILITY STATUS FOR THE POPULATION 1 YEAR AND OVER,,,,,,,,
B99071,dimensions,,,,,,,,
B99071,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99072,IMPUTATION OF RESIDENCE 1 YEAR AGO FOR THE POPULATION 1 YEAR AND OVER,,,,,,,,
B99072,dimensions,,,,,,,,
B99072,values,['Total:'],"['Same house', 'Different house:']","['', 'Not imputed', 'Imputed:']","['', 'One or more but not all geographic parts imputed', 'All geographic parts imputed']",,,,
B99080,IMPUTATION OF MEANS OF TRANSPORTATION TO WORK,,,,,,,,
B99080,dimensions,,,,,,,,
B99080,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99081,IMPUTATION OF PLACE OF WORK,,,,,,,,
B99081,dimensions,,,,,,,,
B99081,values,['Total:'],"['Not imputed', 'Imputed:']","['', 'One or more but not all geographic parts imputed', 'All geographic parts imputed']",,,,,
B99082,IMPUTATION OF PRIVATE VEHICLE OCCUPANCY,,,,,,,,
B99082,dimensions,,,,,,,,
B99082,values,['Total:'],"['Other means (including those who worked at home)', 'Car, truck, or van:']","['', 'Not imputed', 'Imputed']",,,,,
B99083,IMPUTATION OF TIME LEAVING HOME TO GO TO WORK,,,,,,,,
B99083,dimensions,,,,,,,,
B99083,values,['Total:'],"['Did not work at home:', 'Worked at home']","['', 'Time leaving home to go to work --']","['', 'Not imputed', 'Imputed']",,,,
B99084,IMPUTATION OF TRAVEL TIME TO WORK,,,,,,,,
B99084,dimensions,,,,,,,,
B99084,values,['Total:'],"['Did not work at home:', 'Worked at home']","['', 'Travel time to work --']","['', 'Not imputed', 'Imputed']",,,,
B99085,IMPUTATION OF VEHICLES AVAILABLE FOR WORKERS,,,,,,,,
B99085,dimensions,,,,,,,,
B99085,values,['Total:'],"['Imputed ', 'Not imputed ']",,,,,,
B99086,IMPUTATION OF MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,,,,,,,,
B99086,dimensions,,,,,,,,
B99086,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99087,IMPUTATION OF TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY,,,,,,,,
B99087,dimensions,,,,,,,,
B99087,values,['Total:'],"['Did not work at home:', 'Worked at home']","['', 'Time arriving at work from home --']","['Not imputed for either departure time or minutes to work', '', 'Imputed for either departure time or minutes to work']",,,,
B99088,IMPUTATION OF TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,,,,,,,,
B99088,dimensions,,,,,,,,
B99088,values,['Total:'],"['Did not work at home:', 'Worked at home']","['', 'Travel time to work --']","['', 'Not imputed', 'Imputed']",,,,
B99089,IMPUTATION OF VEHICLES AVAILABLE FOR WORKERS FOR WORKPLACE GEOGRAPHY,,,,,,,,
B99089,dimensions,,,,,,,,
B99089,values,['Total:'],"['Imputed ', 'Not imputed ']",,,,,,
B99092,IMPUTATION OF RELATIONSHIP,,,,,,,,
B99092,dimensions,,,,,,,,
B99092,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99102,IMPUTATION OF GRANDPARENTS LIVING WITH GRANDCHILDREN UNDER 18 YEARS,,,,,,,,
B99102,dimensions,,,,,,,,
B99102,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99103,IMPUTATION OF GRANDPARENTS RESPONSIBLE FOR GRANDCHILDREN UNDER 18 YEARS,,,,,,,,
B99103,dimensions,,,,,,,,
B99103,values,['Total:'],"['Imputed ', 'Not imputed ']",,,,,,
B99104,IMPUTATION OF LENGTH OF TIME GRANDPARENT RESPONSIBLE FOR OWN GRANDCHILDREN UNDER 18 YEARS FOR THE POPULATION 30 YEARS AND OVER,,,,,,,,
B99104,dimensions,,,,,,,,
B99104,values,['Total:'],"['Living with own grandchildren under 18 years:', 'Not living with own grandchildren under 18 years']","['', 'Grandparent not responsible for own grandchildren under 18 years', 'Grandparent responsible for own grandchildren under 18 years:']","['', 'Length of time --']","['', 'Not imputed', 'Imputed']",,,
B99121,IMPUTATION OF MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,,,,,,,,
B99121,dimensions,,,,,,,,
B99121,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99122,IMPUTATION OF DIVORCED IN THE PAST 12 MONTHS FOR THE POPULATION 15 YEARS AND OVER,,,,,,,,
B99122,dimensions,,,,,,,,
B99122,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99123,IMPUTATION OF MARRIED IN THE PAST 12 MONTHS FOR THE POPULATION 15 YEARS AND OVER,,,,,,,,
B99123,dimensions,,,,,,,,
B99123,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99124,IMPUTATION OF WIDOWED IN THE PAST 12 MONTHS FOR THE POPULATION 15 YEARS AND OVER,,,,,,,,
B99124,dimensions,,,,,,,,
B99124,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99125,IMPUTATION OF TIMES MARRIED FOR THE POPULATION 15 YEARS AND OVER,,,,,,,,
B99125,dimensions,,,,,,,,
B99125,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99126,IMPUTATION OF YEAR LAST MARRIED FOR THE POPULATION 15 YEARS AND OVER,,,,,,,,
B99126,dimensions,,,,,,,,
B99126,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99131,IMPUTATION OF MARITAL STATUS FOR FEMALES 15 TO 50 YEARS,,,,,,,,
B99131,dimensions,,,,,,,,
B99131,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99132,IMPUTATION OF FERTILITY OF WOMEN 15 TO 50 YEARS,,,,,,,,
B99132,dimensions,,,,,,,,
B99132,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99141,IMPUTATION OF SCHOOL ENROLLMENT FOR THE POPULATION 3 YEARS AND OVER,,,,,,,,
B99141,dimensions,,,,,,,,
B99141,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99142,IMPUTATION OF GRADE ENROLLED FOR THE POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL,,,,,,,,
B99142,dimensions,,,,,,,,
B99142,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99151,IMPUTATION OF EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,,,,,,,,
B99151,dimensions,,,,,,,,
B99151,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99152,IMPUTATION OF FIELD OF DEGREE FOR POPULATION 25 YEARS AND OVER,,,,,,,,
B99152,dimensions,,,,,,,,
B99152,values,['Total:'],"['Not Imputed', 'Imputed']",,,,,,
B99161,IMPUTATION OF LANGUAGE STATUS FOR THE POPULATION 5 YEARS AND OVER,,,,,,,,
B99161,dimensions,,,,,,,,
B99161,values,['Total:'],"['Not imputed', 'Imputed']",,,,,,
B99162,IMPUTATION OF LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER,,,,,,,,
B99162,dimensions,,,,,,,,
B99162,values,['Total:'],"['Speak only English', 'Speak other languages:']",['Specific languages spoken --'],"['Not imputed', 'Imputed:']","['', 'Language status not imputed', 'Language status imputed']",,,
B99163,IMPUTATION OF ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,,,,,,,,
B99163,dimensions,,,,,,,,
B99163,values,['Total:'],"['Speak only English', 'Speak other languages:']",['Ability to speak English --'],"['Not imputed', 'Imputed']",,,,
B99171,IMPUTATION OF POVERTY STATUS IN THE PAST 12 MONTHS FOR UNRELATED INDIVIDUALS,,,,,,,,
B99171,dimensions,,,,,,,,
B99171,values,"['Percent of income imputed for individuals with income in the past 12 months at or above poverty level --', 'Percent of income imputed for individuals with income in the past 12 months below poverty level --', 'Total:']","['50 to less than 100 percent of total income for individual imputed', '10 to less than 25 percent of total income for individual imputed', 'Dollar value of zero imputed', '25 to less than 50 percent of total income for individual imputed', 'No income imputed', '100 percent of total income for individual imputed', 'More than 0 to less than 10 percent of total income for individual imputed']",,,,,,
B99172,IMPUTATION OF POVERTY STATUS IN THE PAST 12 MONTHS FOR FAMILIES,,,,,,,,
B99172,dimensions,,,,,,,,
B99172,values,"['Percent of family income imputed for families with income in the past 12 months at or above poverty level --', 'Percent of family income imputed for families with income in the past 12 months below poverty level --', 'Total:']","['10 to less than 25 percent of total income for family imputed', '50 to less than 100 percent of total income for family imputed', 'Dollar value of zero imputed', 'More than 0 to less than 10 percent of total income for family imputed', '25 to less than 50 percent of total income for family imputed', 'No income imputed', '100 percent of total income for family imputed']",,,,,,
B99181,IMPUTATION OF DISABILITY ITEMS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,,,,,
